
Restaurant [restaurantId=222, restaurantName=Chung Wah, ratings=3.5, openingTime=19:00, closingTime=23:59, reviews=[Review [restaurantId=222, reviews=Overall a very good experience a must try would be bowls of rice or pasta with your favorite veggies or nan], Review [restaurantId=222, reviews=My comfort food all the time]], dishes=[Dishes [restaurantId=222, dishName=Manchow Soup, price=140, discount=140], Dishes [restaurantId=222, dishName=Fried Rice, price=170, discount=170], Dishes [restaurantId=222, dishName=Sanghai Noodles, price=190, discount=190]]]
Restaurant [restaurantId=222, restaurantName=Chung Wah, ratings=3.5, openingTime=19:00, closingTime=23:59, reviews=[Review [restaurantId=222, reviews=Overall a very good experience a must try would be bowls of rice or pasta with your favorite veggies or nan], Review [restaurantId=222, reviews=My comfort food all the time]], dishes=[Dishes [restaurantId=222, dishName=Manchow Soup, price=140, discount=140], Dishes [restaurantId=222, dishName=Fried Rice, price=170, discount=170], Dishes [restaurantId=222, dishName=Sanghai Noodles, price=190, discount=190]]]
Restaurant [restaurantId=222, restaurantName=Chung Wah, ratings=3.5, openingTime=19:00, closingTime=23:59, reviews=[Review [restaurantId=222, reviews=Overall a very good experience a must try would be bowls of rice or pasta with your favorite veggies or nan], Review [restaurantId=222, reviews=My comfort food all the time]], dishes=[Dishes [restaurantId=222, dishName=Manchow Soup, price=140, discount=140], Dishes [restaurantId=222, dishName=Fried Rice, price=170, discount=170], Dishes [restaurantId=222, dishName=Sanghai Noodles, price=190, discount=190]]]
Restaurant [restaurantId=222, restaurantName=Chung Wah, ratings=3.5, openingTime=19:00, closingTime=23:59, reviews=[Review [restaurantId=222, reviews=Overall a very good experience a must try would be bowls of rice or pasta with your favorite veggies or nan], Review [restaurantId=222, reviews=My comfort food all the time]], dishes=[Dishes [restaurantId=222, dishName=Manchow Soup, price=140, discount=140], Dishes [restaurantId=222, dishName=Fried Rice, price=170, discount=170], Dishes [restaurantId=222, dishName=Sanghai Noodles, price=190, discount=190]]]
Restaurant [restaurantId=222, restaurantName=Chung Wah, ratings=3.5, openingTime=19:00, closingTime=23:59, reviews=[Review [restaurantId=222, reviews=Overall a very good experience a must try would be bowls of rice or pasta with your favorite veggies or nan], Review [restaurantId=222, reviews=My comfort food all the time]], dishes=[Dishes [restaurantId=222, dishName=Manchow Soup, price=140, discount=140], Dishes [restaurantId=222, dishName=Fried Rice, price=170, discount=170], Dishes [restaurantId=222, dishName=Sanghai Noodles, price=190, discount=190]]]
Restaurant [restaurantId=222, restaurantName=Chung Wah, ratings=3.5, openingTime=19:00, closingTime=23:59, reviews=[Review [restaurantId=222, reviews=Overall a very good experience a must try would be bowls of rice or pasta with your favorite veggies or nan], Review [restaurantId=222, reviews=My comfort food all the time]], dishes=[Dishes [restaurantId=222, dishName=Manchow Soup, price=140, discount=140], Dishes [restaurantId=222, dishName=Fried Rice, price=170, discount=170], Dishes [restaurantId=222, dishName=Sanghai Noodles, price=190, discount=190]]]
Restaurant [restaurantId=222, restaurantName=Chung Wah, ratings=3.5, openingTime=19:00, closingTime=23:59, reviews=[Review [restaurantId=222, reviews=Overall a very good experience a must try would be bowls of rice or pasta with your favorite veggies or nan], Review [restaurantId=222, reviews=My comfort food all the time]], dishes=[Dishes [restaurantId=222, dishName=Manchow Soup, price=140, discount=140], Dishes [restaurantId=222, dishName=Fried Rice, price=170, discount=170], Dishes [restaurantId=222, dishName=Sanghai Noodles, price=190, discount=190]]]
Restaurant [restaurantId=222, restaurantName=Chung Wah, ratings=3.5, openingTime=19:00, closingTime=23:59, reviews=[Review [restaurantId=222, reviews=Overall a very good experience a must try would be bowls of rice or pasta with your favorite veggies or nan], Review [restaurantId=222, reviews=My comfort food all the time]], dishes=[Dishes [restaurantId=222, dishName=Manchow Soup, price=140, discount=140], Dishes [restaurantId=222, dishName=Fried Rice, price=170, discount=170], Dishes [restaurantId=222, dishName=Sanghai Noodles, price=190, discount=190]]]
Restaurant [restaurantId=222, restaurantName=Chung Wah, ratings=3.5, openingTime=19:00, closingTime=23:59, reviews=[Review [restaurantId=222, reviews=Overall a very good experience a must try would be bowls of rice or pasta with your favorite veggies or nan], Review [restaurantId=222, reviews=My comfort food all the time]], dishes=[Dishes [restaurantId=222, dishName=Manchow Soup, price=140, discount=140], Dishes [restaurantId=222, dishName=Fried Rice, price=170, discount=170], Dishes [restaurantId=222, dishName=Sanghai Noodles, price=190, discount=190]]]
Restaurant [restaurantId=222, restaurantName=Chung Wah, ratings=3.5, openingTime=19:00, closingTime=23:59, reviews=[Review [restaurantId=222, reviews=Overall a very good experience a must try would be bowls of rice or pasta with your favorite veggies or nan], Review [restaurantId=222, reviews=My comfort food all the time]], dishes=[Dishes [restaurantId=222, dishName=Manchow Soup, price=140, discount=140], Dishes [restaurantId=222, dishName=Fried Rice, price=170, discount=170], Dishes [restaurantId=222, dishName=Sanghai Noodles, price=190, discount=190]]]
Restaurant [restaurantId=222, restaurantName=Chung Wah, ratings=3.5, openingTime=19:00, closingTime=23:59, reviews=[Review [restaurantId=222, reviews=Overall a very good experience a must try would be bowls of rice or pasta with your favorite veggies or nan], Review [restaurantId=222, reviews=My comfort food all the time]], dishes=[Dishes [restaurantId=222, dishName=Manchow Soup, price=140, discount=140], Dishes [restaurantId=222, dishName=Fried Rice, price=170, discount=170], Dishes [restaurantId=222, dishName=Sanghai Noodles, price=190, discount=190]]]
