
Restaurant [restaurantId=111, restaurantName=Truffles, ratings=4.5, openingTime=10:00, closingTime=21:00, reviews=[Review [restaurantId=111, reviews=This is one such amazing places in Bangalore], Review [restaurantId=111, reviews=Place was much crowded. But no compromise on quality i would say], Review [restaurantId=111, reviews=This brand doesn't need any introduction.my favorite dish there is the all American cheese burger]], dishes=[Dishes [restaurantId=111, dishName=PastaSalad, price=160, discount=160], Dishes [restaurantId=111, dishName=ButterChickenBurger, price=180, discount=180], Dishes [restaurantId=111, dishName=AmericanBreakFast, price=225, discount=225]]]
Restaurant [restaurantId=111, restaurantName=Truffles, ratings=4.5, openingTime=10:00, closingTime=21:00, reviews=[Review [restaurantId=111, reviews=This is one such amazing places in Bangalore], Review [restaurantId=111, reviews=Place was much crowded. But no compromise on quality i would say], Review [restaurantId=111, reviews=This brand doesn't need any introduction.my favorite dish there is the all American cheese burger]], dishes=[Dishes [restaurantId=111, dishName=PastaSalad, price=160, discount=160], Dishes [restaurantId=111, dishName=ButterChickenBurger, price=180, discount=180], Dishes [restaurantId=111, dishName=AmericanBreakFast, price=225, discount=225]]]
Restaurant [restaurantId=111, restaurantName=Truffles, ratings=4.5, openingTime=10:00, closingTime=21:00, reviews=[Review [restaurantId=111, reviews=This is one such amazing places in Bangalore], Review [restaurantId=111, reviews=Place was much crowded. But no compromise on quality i would say], Review [restaurantId=111, reviews=This brand doesn't need any introduction.my favorite dish there is the all American cheese burger]], dishes=[Dishes [restaurantId=111, dishName=PastaSalad, price=160, discount=160], Dishes [restaurantId=111, dishName=ButterChickenBurger, price=180, discount=180], Dishes [restaurantId=111, dishName=AmericanBreakFast, price=225, discount=225]]]
Restaurant [restaurantId=111, restaurantName=Truffles, ratings=4.5, openingTime=10:00, closingTime=21:00, reviews=[Review [restaurantId=111, reviews=This is one such amazing places in Bangalore], Review [restaurantId=111, reviews=Place was much crowded. But no compromise on quality i would say], Review [restaurantId=111, reviews=This brand doesn't need any introduction.my favorite dish there is the all American cheese burger]], dishes=[Dishes [restaurantId=111, dishName=PastaSalad, price=160, discount=160], Dishes [restaurantId=111, dishName=ButterChickenBurger, price=180, discount=180], Dishes [restaurantId=111, dishName=AmericanBreakFast, price=225, discount=225]]]
Restaurant [restaurantId=111, restaurantName=Truffles, ratings=4.5, openingTime=10:00, closingTime=21:00, reviews=[Review [restaurantId=111, reviews=This is one such amazing places in Bangalore], Review [restaurantId=111, reviews=Place was much crowded. But no compromise on quality i would say], Review [restaurantId=111, reviews=This brand doesn't need any introduction.my favorite dish there is the all American cheese burger]], dishes=[Dishes [restaurantId=111, dishName=PastaSalad, price=160, discount=160], Dishes [restaurantId=111, dishName=ButterChickenBurger, price=180, discount=180], Dishes [restaurantId=111, dishName=AmericanBreakFast, price=225, discount=225]]]
Restaurant [restaurantId=111, restaurantName=Truffles, ratings=4.5, openingTime=10:00, closingTime=21:00, reviews=[Review [restaurantId=111, reviews=This is one such amazing places in Bangalore], Review [restaurantId=111, reviews=Place was much crowded. But no compromise on quality i would say], Review [restaurantId=111, reviews=This brand doesn't need any introduction.my favorite dish there is the all American cheese burger]], dishes=[Dishes [restaurantId=111, dishName=PastaSalad, price=160, discount=160], Dishes [restaurantId=111, dishName=ButterChickenBurger, price=180, discount=180], Dishes [restaurantId=111, dishName=AmericanBreakFast, price=225, discount=225]]]
Restaurant [restaurantId=111, restaurantName=Truffles, ratings=4.5, openingTime=10:00, closingTime=21:00, reviews=[Review [restaurantId=111, reviews=This is one such amazing places in Bangalore], Review [restaurantId=111, reviews=Place was much crowded. But no compromise on quality i would say], Review [restaurantId=111, reviews=This brand doesn't need any introduction.my favorite dish there is the all American cheese burger]], dishes=[Dishes [restaurantId=111, dishName=PastaSalad, price=160, discount=160], Dishes [restaurantId=111, dishName=ButterChickenBurger, price=180, discount=180], Dishes [restaurantId=111, dishName=AmericanBreakFast, price=225, discount=225]]]
Restaurant [restaurantId=111, restaurantName=Truffles, ratings=4.5, openingTime=10:00, closingTime=21:00, reviews=[Review [restaurantId=111, reviews=This is one such amazing places in Bangalore], Review [restaurantId=111, reviews=Place was much crowded. But no compromise on quality i would say], Review [restaurantId=111, reviews=This brand doesn't need any introduction.my favorite dish there is the all American cheese burger]], dishes=[Dishes [restaurantId=111, dishName=PastaSalad, price=160, discount=160], Dishes [restaurantId=111, dishName=ButterChickenBurger, price=180, discount=180], Dishes [restaurantId=111, dishName=AmericanBreakFast, price=225, discount=225]]]
Restaurant [restaurantId=111, restaurantName=Truffles, ratings=4.5, openingTime=10:00, closingTime=21:00, reviews=[Review [restaurantId=111, reviews=This is one such amazing places in Bangalore], Review [restaurantId=111, reviews=Place was much crowded. But no compromise on quality i would say], Review [restaurantId=111, reviews=This brand doesn't need any introduction.my favorite dish there is the all American cheese burger]], dishes=[Dishes [restaurantId=111, dishName=PastaSalad, price=160, discount=160], Dishes [restaurantId=111, dishName=ButterChickenBurger, price=180, discount=180], Dishes [restaurantId=111, dishName=AmericanBreakFast, price=225, discount=225]]]
Restaurant [restaurantId=111, restaurantName=Truffles, ratings=4.5, openingTime=10:00, closingTime=21:00, reviews=[Review [restaurantId=111, reviews=This is one such amazing places in Bangalore], Review [restaurantId=111, reviews=Place was much crowded. But no compromise on quality i would say], Review [restaurantId=111, reviews=This brand doesn't need any introduction.my favorite dish there is the all American cheese burger]], dishes=[Dishes [restaurantId=111, dishName=PastaSalad, price=160, discount=160], Dishes [restaurantId=111, dishName=ButterChickenBurger, price=180, discount=180], Dishes [restaurantId=111, dishName=AmericanBreakFast, price=225, discount=225]]]
Restaurant [restaurantId=111, restaurantName=Truffles, ratings=4.5, openingTime=10:00, closingTime=21:00, reviews=[Review [restaurantId=111, reviews=This is one such amazing places in Bangalore], Review [restaurantId=111, reviews=Place was much crowded. But no compromise on quality i would say], Review [restaurantId=111, reviews=This brand doesn't need any introduction.my favorite dish there is the all American cheese burger]], dishes=[Dishes [restaurantId=111, dishName=PastaSalad, price=160, discount=160], Dishes [restaurantId=111, dishName=ButterChickenBurger, price=180, discount=180], Dishes [restaurantId=111, dishName=AmericanBreakFast, price=225, discount=225]]]
